carat,cut,color,clarity,depth,table,price,volume
0.23,ideal,e,si2,61.5,55.0,326,38.202034
0.21,premium,e,si1,59.8,61.0,326,34.505856
0.23,good,e,vs1,56.9,65.0,327,38.07689
0.29,premium,i,vs2,62.4,58.0,334,46.72458
0.31,good,j,si2,63.3,58.0,335,51.917248
0.24,very good,j,vvs2,62.8,57.0,336,38.693954
0.24,very good,i,vvs1,62.3,57.0,336,38.83087
0.26,very good,h,si1,61.9,55.0,337,42.321083
0.22,fair,e,vs2,65.1,61.0,337,36.425213
0.23,very good,h,vs1,59.4,61.0,338,38.718002
0.3,good,j,si1,64.0,55.0,339,49.658703
0.23,ideal,j,vs1,62.8,56.0,340,37.704422
0.22,premium,f,si1,60.4,61.0,342,34.715137
0.31,ideal,j,si2,62.2,54.0,344,51.515743
0.2,premium,e,si2,60.2,62.0,345,32.262375
0.32,premium,e,i1,60.9,58.0,345,51.883728
0.3,ideal,i,si2,62.0,54.0,348,50.130474
0.3,good,j,si1,63.4,54.0,351,48.99609
0.3,good,j,si1,63.8,56.0,351,48.83366
0.3,very good,j,si1,62.7,59.0,351,47.818024
0.3,good,i,si2,63.3,56.0,351,49.64179
0.23,very good,e,vs2,63.8,55.0,352,37.42816
0.23,very good,h,vs1,61.0,57.0,353,37.601788
0.31,very good,j,si1,59.4,62.0,353,50.95297
0.31,very good,j,si1,58.1,62.0,353,51.40321
0.23,very good,g,vvs2,60.4,58.0,354,38.366478
0.24,premium,i,vs1,62.5,57.0,355,38.635246
0.3,very good,j,vs2,62.2,57.0,357,49.138683
0.23,very good,d,vs2,60.5,61.0,357,37.73088
0.23,very good,f,vs1,60.9,57.0,357,38.23697
0.23,very good,f,vs1,60.0,57.0,402,38.849205
0.23,very good,f,vs1,59.8,57.0,402,39.693806
0.23,very good,e,vs1,60.7,59.0,402,38.525677
0.23,very good,e,vs1,59.5,58.0,402,39.073444
0.23,very good,d,vs1,61.9,58.0,402,37.87661
0.23,good,f,vs1,58.2,59.0,402,39.258575
0.23,good,e,vs1,64.1,59.0,402,36.27393
0.31,good,h,si1,64.0,54.0,402,50.84722
0.26,very good,d,vs2,60.8,59.0,403,43.295616
0.33,ideal,i,si2,61.8,55.0,403,56.294724
0.33,ideal,i,si2,61.2,56.0,403,55.563744
0.33,ideal,j,si1,61.1,56.0,403,56.38542
0.26,good,d,vs2,65.2,56.0,403,41.863876
0.26,good,d,vs1,58.4,63.0,403,43.703377
0.32,good,h,si2,63.1,56.0,403,52.15595
0.29,premium,f,si1,62.4,58.0,403,47.865364
0.32,very good,h,si2,61.8,55.0,403,52.105167
0.32,good,h,si2,63.8,56.0,403,53.280075
0.25,very good,e,vs2,63.3,60.0,404,40.9448
0.29,very good,h,si2,60.7,60.0,404,49.954346
0.24,very good,f,si1,60.9,61.0,404,39.691475
0.23,ideal,g,vs1,61.9,54.0,404,37.877342
0.32,ideal,i,si1,60.9,55.0,404,54.225918
0.22,premium,e,vs2,61.6,58.0,404,36.84336
0.22,premium,d,vs2,59.3,62.0,404,35.044548
0.3,ideal,i,si2,61.0,59.0,405,48.967976
0.3,premium,j,si2,59.3,61.0,405,50.64287
0.3,very good,i,si1,62.6,57.0,405,48.567303
0.3,very good,i,si1,63.0,57.0,405,50.10682
0.3,good,i,si1,63.2,55.0,405,49.227753
0.35,ideal,i,vs1,60.9,57.0,552,57.93131
0.3,premium,d,si1,62.6,59.0,552,48.045185
0.3,ideal,d,si1,62.5,57.0,552,49.853233
0.3,ideal,d,si1,62.1,56.0,552,49.898926
0.42,premium,i,si2,61.5,59.0,552,68.4802
0.28,ideal,g,vvs2,61.4,56.0,553,45.61904
0.32,ideal,i,vvs1,62.0,55.3,553,52.97237
0.31,very good,g,si1,63.3,57.0,553,50.829876
0.31,premium,g,si1,61.8,58.0,553,50.36256
0.24,premium,e,vvs1,60.7,58.0,553,39.431137
0.24,very good,d,vvs1,61.5,60.0,553,38.906002
0.3,very good,h,si1,63.1,56.0,554,49.45941
0.3,premium,h,si1,62.9,59.0,554,48.634495
0.3,premium,h,si1,62.5,57.0,554,48.680775
0.3,good,h,si1,63.7,57.0,554,49.59322
0.26,very good,f,vvs2,59.2,60.0,554,44.02768
0.26,very good,e,vvs2,59.9,58.0,554,44.0618
0.26,very good,d,vvs2,62.4,54.0,554,43.137024
0.26,very good,d,vvs2,62.8,60.0,554,41.088467
0.26,very good,e,vvs1,62.6,59.0,554,42.34377
0.26,very good,e,vvs1,63.4,59.0,554,41.208
0.26,very good,d,vvs1,62.1,60.0,554,42.007107
0.26,ideal,e,vvs2,62.9,58.0,554,41.455845
0.38,ideal,i,si2,61.6,56.0,554,62.323483
0.26,good,e,vvs1,57.9,60.0,554,43.94075
